adult,backdrop_path,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,production_companies_name,production_companies_country
False,/rFgIY3VaLm7eezErEYlabkgK9bf.jpg,0,"['Drama', 'War']",,198537,tt0072371,fr,Les Violons du bal,"In this WW II drama based on an autobiographical story by director Michel Drach, a Jewish boy and his family living in Nazi occupied France, attempt to escape the cruel invaders. Later the boy grows up to become a filmmaker obsessed with chronicling his childhood.",0.722,/cfS9dPrAJtIk9YYi7rmnoHbcjtR.jpg,['FR'],1974-06-02,0,110,['fr'],Released,,Violins at the Ball,False,6.1,11,[],
False,,0,['Documentary'],,198644,tt0081336,fr,Les Photos d'Alix,"Alix Cléo Roubaud, a photographer, describes her images to Eustache’s son Boris. An “essay in the shape of a hoax”, Eustache’s last film wittily questions the relationship between showing and telling as it gradually shifts Alix’s narration out of sync with what we see.",0.937,/6uflluc3EQMk5RAcC35RUyfoycS.jpg,['FR'],1980-01-01,0,19,['fr'],Released,,Alix's Pictures,False,6.4,9,['Mediane Films'],
False,/j84ufYm1IRrB9SSaHDnw9GajQp4.jpg,0,"['Action', 'Thriller', 'Science Fiction', 'Comedy']",,198789,tt0061815,fr,L'inconnu de Shandigor,"Crazed scientist Herbert Von Krantz invents a device to sterilize all nuclear weapons, and a mad herd of rival spies desperately try to get their hands on it.",0.88,/rfUYmQCQY7sMNUBEVGlFu4NQMcj.jpg,['CH'],1967-05-01,0,90,['fr'],Released,,The Unknown Man of Shandigor,False,6.143,7,['Frajea Film'],
False,,0,"['Drama', 'Romance']",,199132,tt0052086,fr,La première nuit,"A residential area schoolboy discovers the odd universe of the Parisian metro. At one point, he glimpses the beautiful face of a blond-haired girl. Later on, he falls asleep and possibly dreams his first love dream…",0.921,/hOT6iUI2ZlHv691jlG19LPeFvUF.jpg,['FR'],1958-04-22,0,21,['xx'],Released,,The First Night,False,6.3,7,[],
False,/ll6xcofQ8qEYkwQwcBNuVQM81F8.jpg,0,['Drama'],,199189,tt0050346,fr,L'eau vive,"The heroine in L'Eau Vive is the unwilling heir to a fortune. Young Hortense (Pascale Audret) has always known that her family was greedy, but until she inherits her father's hidden millions she has no idea how loathsome her relatives could be. Surrounded on all sides by grubby, outstretched hands, Hortense takes some comfort in the fact that her legacy is still missing. When the money is finally recovered, our heroine does the ""right thing"" with her windfall, leaving her mercenary family empty-handed. Throughout the film, Hortense's dilemma is likened to a government dam project not far from her home; as the bridge grows in size, so too does Hortense's resolve to rise above the nastiness all around her.",0.709,/pmFojeDxIrKAgex9kTnhruK9Ftk.jpg,['FR'],1958-06-08,0,96,['fr'],Released,,Girl and the River,False,6.3,3,['Caravelle'],
False,,0,"['Crime', 'Drama']",,199252,tt0048011,fr,Le dossier noir,"In the 1950s, in a small provincial town, a young inexperienced judge clashes with an influential notable during an investigation into a suspicious death. His perseverance to get to the truth will cause a huge scandal.",1.96,/tKJSlJvgbv83185l64lRtmeK4As.jpg,"['FR', 'IT']",1955-05-10,0,115,['fr'],Released,,Black Dossier,False,6.3,9,"['Spéva Films', 'Rizzoli Film']",
False,/tUXjEF9Bo4N2AbODaIWMYw9lRX9.jpg,0,['Family'],,199342,tt2922078,fr,La lampe au beurre de yak,A young itinerant photographer and his assistant suggest to Tibetan nomads to photograph them in front of various background.,0.965,/cWecsDJliabc8QbpeO9SYURNO15.jpg,"['CN', 'FR']",2013-05-19,0,15,['bo'],Released,,Butter Lamp,False,7.4,18,[],
False,/o6uldTd48Wb3UGPO9ChImIUzcw1.jpg,0,['Drama'],,199431,tt0045525,fr,Avant le déluge,"The title of this French ""reality"" drama, which translates to Before the Deluge, is a play on Louis XVI's famous prognostication, ""Apres moi, le deluge."" Set in 1950, the film concentrates on five Parisian adolescents. Certain that the next war will herald the apocalypse, the youngster make plans to run off to a desert island and set up a new society. This, however, will require money, which is why the boys decide to pull off a ""necessary"" robbery. Idealism collapses in the face of cold reality, as the five youths suffer from the consequences of their actions. Avant le Deluge was one of a group of films cowritten by director Andre Cayatte and Charles Spaak which endeavored to explore the touchy social issues of the day: others in the Cayatte-Spaak canon include the euthanasia-themed Justice est Faite and the capital-punishment tract Nous sommes tous des assassins.",1.96,/1IpTRtLa0HhtsIKsxQMPt2g5VzN.jpg,"['FR', 'IT']",1954-02-26,0,138,['fr'],Released,,Before the Deluge,False,6.7,6,"['UGC', 'Documento Film']",
False,/tJnueHN1JhPKn2M2oU8bznhVJFK.jpg,0,"['Crime', 'Drama']",,199503,tt0044977,fr,Nous sommes tous des assassins,"Originally titled Nous Sommes Tout des Assassins, We Are All Murderers was directed by Andre Cayette, a former lawyer who detested France's execution system. Charles Spaak's screenplay makes no attempt to launder the four principal characters (Marcel Mouloudji, Raymond Pellegrin, Antoinine Balpetre, Julien Verdeir): never mind the motivations, these are all hardened murderers. Still, the film condemns the sadistic ritual through which these four men are brought to the guillotine. In France, the policy is to never tell the condemned man when the execution will occur--and then to show up without warning and drag the victim kicking and screaming to his doom, without any opportunity to make peace with himself or his Maker. By the end of this harrowing film, the audience feels as dehumanized as the four ""protagonists."" We Are All Murderers was roundly roasted by the French law enforcement establishment, but it won a special jury prize at the 1952 Cannes Film Festival.",1.889,/cA0zWVlOJaHBKpxfiIgCRYR10cm.jpg,"['FR', 'IT']",1952-05-21,0,117,"['fr', 'it']",Released,,We Are All Murderers,False,7.0,14,"['Jolly Film', 'Union Générale Cinématographique (UGC)', 'Labor Film']",
False,/sDAbPCn5BlKpqitRoKglm8RNtfC.jpg,0,"['Comedy', 'Romance']",,199549,tt2081435,fr,Amitiés sincères,"The bonds of a 30-year friendship are tested when Walter's 20-year-old daughter, Clemence, falls in love with his friend Paul.",2.851,/4eqt7ScP8T04gi1P1yI2EYJa9bv.jpg,['FR'],2013-01-29,0,0,['fr'],Released,,True Friends,False,6.1,32,['WY Productions'],
False,/2k2XlACLH10DKBQADsR2gyqbapK.jpg,0,"['Comedy', 'Drama']",,199689,tt0026280,fr,Divine,"A country girl (Simone Berriau) finds work as a chorus girl in Paris, gets embroiled with a bad egg, and then finds true love with a good-looking milkman.",0.611,/tkzhPvkIsDdDxc3MA6f3kFYwScI.jpg,['FR'],1935-11-21,0,82,['fr'],Released,,Divine,False,6.7,3,['Eden Productions'],
False,/rm88YTn3DdgXW60zctfqXV85wUK.jpg,0,['Drama'],,199977,tt2176786,fr,Pour une femme,"After the death of her mother, Anne makes a shocking discovery: an old photograph casts doubt on her origins and leads her to discover a mysterious uncle who lived with her parents after the war. As she lifts the lid on a long forgotten family secret, the young woman learns that her mother once succumbed to an amorous passion that was as intense as it was short-lived...",2.621,/3c2H3EeOGO6MZ4Sh4yManquFK0y.jpg,['FR'],2013-07-03,0,110,['fr'],Released,,For a Woman,False,6.1,36,"['Alexandre Films', 'EuropaCorp', 'Canal+', 'Ciné+']",
False,,0,['Documentary'],,200011,tt0114794,fr,L'Univers de Jacques Demy,"Agnès Varda's documentary portrait of her late husband, Jacques Demy.  A companion piece to her Jacquot de Nantes.",1.689,/yRkSL35uZ8EYj8ouv7h8gO9eqIg.jpg,"['BE', 'FR', 'ES']",1995-09-22,0,90,"['fr', 'en']",Released,,The World of Jacques Demy,False,6.5,13,"['CNC', 'Ina', 'Canal+', 'Canal + Belgique', 'La Sept-Arte', 'Sofica Valor 2', 'Ciné-Tamaris']",
False,,0,['Comedy'],,200015,tt0088229,fr,Le Tartuffe,"Orgon is a man of property duped by the false piety of the penniless Tartuffe. Orgon takes him into his house, believing him a paragon of virtue. Orgon orders his daughter to reject her fiancé and marry Tartuffe. First Dorine, the family servant, tries a strategy to avert the marriage; then Orgon's son tries his hand. They anger Orgon, and to prove paternal power, he disinherits his son and makes Tartuffe his heir. Next Orgon's wife tries to bring her husband insight, a stratagem that partially backfires. With the bailiff at the door ordering Orgon to vacate his own home and with Tartuffe at court to prove Orgon's a traitor, all seems lost.",1.786,/fbqCJtgC4qG7jvCtVjEJHXikTAR.jpg,[],1984-09-05,0,140,['fr'],Released,,Le Tartuffe,False,6.6,5,[],
False,/rNe9tzkUZlAsLzTUHxmIEZIG4yc.jpg,0,"['Romance', 'Drama']",,200112,tt2311526,fr,Puppylove,"Diane is a mysterious and lonely teenager. Sharing special bonds with her father Christian, she takes care of the education of her brother Marc. The arrival of Julia in the neighborhood, a charismatic and liberated young British woman, is going to disturb Diane’s daily life.  Desperately willing to become an adult, Diane is going to live, for a semester, the most shattering experiences of her life. The more she gets close to Julia, the more she gets irresponsible, ignoring consequences and limits to her desires.",19.841,/pTiwGVsU3j3X0KSgsfw9hPu5pCB.jpg,['BE'],2013-06-29,0,90,['fr'],Released,There are times we need to try everything,Puppylove,False,6.015,33,"['Bac Cinema', 'Box Productions', 'Entre Chien et Loup']",
False,,0,['Drama'],,200174,tt0073192,fr,Jamais plus toujours,"Claire (Bulle Ogier) returns to France following the death of her actress friend Agathe (Loleh Bellon). She attends an auction of her friend's possessions, provoking memories of the past.  As her camera glides across the auction house bric-a-brac, Yanick Bellon mixes past, present and future to create a delicate piece of cinematic poetry. Set to the music of Georges Delerue.",1.046,/2RBpYyB1EObnzTW8I3gCYJehEZp.jpg,['FR'],1976-03-10,0,78,['fr'],Released,,Jamais plus toujours,False,6.6,6,"[""Les Films de l'Equinoxe"", 'France Régions 3 (FR3)', 'Société Nouvelle de Cinématographie (SNC)']",
False,/uHGlF1fPmEIwc2Yi8OYFcTXpCKz.jpg,0,"['Drama', 'Romance']",,200323,tt0074826,fr,Lumière,"Sarah, an actress nearing her forties, has invited 3 friends to join her for a holiday in Provence. This is the prologue for what happened a year ago in Paris with a man Sarah had long considered a platonic friend. She had just finished a film, had also finished her relationship with the director and was about to receive an award…",1.4,/3wYzYBhG3I60COMetT0up9CruPN.jpg,"['FR', 'IT']",1976-03-24,0,95,['fr'],Released,,Lumière,False,7.8,6,"['Orphée Arts', 'FR3 Cinéma', 'Tritone Cinematografica']",
False,/hUOq759wTgNEfoK0XOW9hX6KWYq.jpg,0,['Documentary'],,200381,tt0106696,fr,Les demoiselles ont eu 25 ans,Agnes Varda's documentary of the celebrations arising from the 25th anniversary of her husband Jacques Demy's film The Young Girls of Rochefort.,1.931,/iE0B0xDEoJj13zybHVmjNXxoq0U.jpg,['FR'],1993-05-19,0,65,"['en', 'fr']",Released,Perhaps the memory of happiness is the same as happiness itself,The Young Girls Turn 25,False,7.3,21,"['Ciné-Tamaris', 'Parc Film', 'Madeleine Films', 'CNC', 'France 2']",
False,/b4pTl41i0WYQNJxPBQkWX9bAsn7.jpg,0,"['Comedy', 'Romance']",,200502,tt0058703,fr,Une ravissante idiote,"A Russian spy is sent out to steal sensitive information from NATO about military mobilization. Without much intelligence of his own, the distrusted agent of Soviet intelligence needs all the help he can get from his ""talented"" partner Penelope Lightfeather as they scatter around the French countryside for secret rendez-vous' while trying to avoid being caught by counter intelligence agents and distrustful communist operatives.",3.369,/yCS43EepWg56h3y7veQkaxpfeYh.jpg,"['FR', 'IT']",1964-03-12,0,110,['fr'],Released,France’s biggest stars together in 1964’s funniest film!,Agent 38-24-36,False,6.067,15,"['Les Productions Belles Rives', 'Flora Film']",
False,/mOq4TpTwvtF3FgDGbOAl1YGz4dA.jpg,0,"['Drama', 'Comedy']",,200645,tt1872102,fr,Marius,"""Marius"" takes place in Marseilles' Old Port, at the La Marine Bar, owned by César and his son Marius. Marius' biggest dream is to embark on one of the boats passing by his dad's bar and to set off to a faraway land. Fanny, a young and pretty seafood peddler, has secretly been in love with Marius since her childhood; Marius, never admitting it, has always loved Fanny. One day, a sailor drops by La Marine and offers him a job on an exploratory ship. Trying to hold him off and to make him jealous, Fanny confesses his love to him and provokes a fight between Marius and one of César's old friends, Panisse, a boat merchant, who despite his old age, has been courting Fanny for a while. Torn between the call of the sea and his love for her, Marius abandons his dream to be with Fanny who gives herself to him. As César and Honorine, Fanny's mother, are getting ready for the wedding, Marius changes his mind, drawn back to the call of the sea.",5.08,/5SF1K2NNF4jTAwTj3ersomzjDzw.jpg,['FR'],2013-07-09,0,93,['fr'],Released,,Marius,False,6.7,93,"['Les Films Alain Sarde', 'Pathé']",
False,/3V34MnNop2DPyurREE5CwvSoLzX.jpg,0,['Comedy'],,200713,tt2853614,fr,9 mois ferme,"Ariane Felder is pregnant! This is surprising with her being a young hardened judge with strict morals.  But what is more surprising is that, according to paternity testing, the child's father is none other than Bob, a criminal from the prosecution charged with an atrocious attack!  Ariane doesn't remember any of what has happened, so she has no idea what to expect...",5.526,/6vCLklvrl7ogr6DywSV3v5XyKk9.jpg,['FR'],2013-09-07,0,82,['fr'],Released,,9 Month Stretch,False,6.426,487,"['Stadenn Productions', 'ADCB Films', 'Wild Bunch', 'Manchester Films', 'France 2 Cinéma', 'Cinéfrance 1888']",
False,/rTJvQvRxH9AoKZXMGCp4hHhRmL8.jpg,0,['Drama'],,200771,tt0377073,fr,Il était une fois Jean-Sébastien Bach,"A dramatic exploration of the life and struggles of the great composer, J.S. Bach, from his orphaning at the age of nine, through his struggles for the freedom to compose music in a restrictive society, to his eventual recognition after death.",0.684,/rnEe1Zo4eKAzVcM3LUAmZhiPorw.jpg,['FR'],2003-08-13,0,105,['fr'],Released,,"J.S. Bach: The Music, The Life, The Legend",False,6.7,3,[],
False,,0,['Comedy'],,200828,tt0891344,fr,"Sexe, magouilles et culture générale","Franck Petit, an unscrupulous and vulgar producer, has been in charge of ""Culture pour tous"", a very popular game show, for years. But for some time now, the ratings have been dropping significantly. Paulette is responsible for this, a contestant who has been winning for eighteen weeks and who no longer appeals to viewers, whether they are housewives, teenagers or even young dynamic executives. A solution is needed to solve the problem: eliminate her. To achieve this, Frank Petit decides to use all means, even the most vile, hoping to impose, instead, the young and sultry Cindy.",0.788,/jrv9WW3ay9eKd8e9NMMZFlbCZXt.jpg,[],2001-06-11,0,136,['fr'],Released,,"Sexe, magouilles et culture générale",False,7.3,3,[],
False,,0,['Mystery'],,200905,tt0080956,fr,Zig~Zag - le jeu de l'oie (Une fiction didactique à propos de la cartographie),A man awakens to find himself immersed in a real-life scenario of a board game with an ever expanding cartography.,1.183,,['FR'],1980-09-17,0,31,['fr'],Released,,Snakes and Ladders,False,6.4,11,"['France 2', 'Centre Georges Pompidou']",
False,/yjlFv2kIQ6O7MSbNM6xGIHQIPy.jpg,0,['Drama'],,201018,tt1872101,fr,Fanny,"""Fanny"" is the second part of the ""Marseille trilogy"", made by Marcel Pagnol with the generic name of ""Marius, Fanny and César"". Fanny falls in love and is abandoned by Marius. Now she discovers she is pregnant. Her mother and Marius's father, César, persuade her to accept the romantic advances of a much older man. To save face, Fanny accepts to marry Honoré Panisse, a rich merchant of the Vieux Port, 30 years her senior who will recognize her son.",5.226,/mvb4hT4rEnAxMxo3zJj8X2fXROY.jpg,['FR'],2013-07-10,0,102,['fr'],Released,,Fanny,False,6.9,83,"['Les Films Alain Sarde', 'Pathé', 'Zack Films']",
False,/9N7z9fvWWBRgn97b0tMZECylx2V.jpg,0,"['Comedy', 'Drama', 'TV Movie']",,201522,tt2066231,fr,Aïcha : Vacances infernales,,1.432,/oS4PoKQVF7MGRPH4cjGdMkbg4xV.jpg,['FR'],2012-06-20,0,0,['fr'],Released,,Aïcha : Vacances infernales,False,6.3,6,[],
False,,0,"['Documentary', 'Drama']",,202102,tt0048575,fr,Le Sabotier du Val de Loire,"This is October 1955. The place is a village in Loire-Atlantique, La Chapelle-Basse-Mer, where an old clog-maker works and lives with his wife and their adopted son. The clog-maker's meticulous craft is described with love and close attention to detail. On the other hand, forthcoming death pervades the quiet everyday life of the elderly couple.",0.6,/bO2mK7EqFh1eesMbKlPaCwVLOXO.jpg,['FR'],1956-06-22,0,24,['fr'],Released,,Le Sabotier du Val de Loire,False,6.727,11,"['Les Films Georges Rouquier', 'Société Nouvelle Pathé Cinéma']",
